2023-06-11 14:55:54,75,1,29,21.8400,35059,11,187
2023-04-16 15:18:04,359,1,426,31.0000,35059,28,38
2023-05-18 07:27:56,232,1,466,8.2700,35059,2,786
2023-09-27 18:08:23,71,2,546,20.3300,35059,29,357
2023-06-15 00:55:58,444,2,400,29.6800,35059,29,800
2023-10-10 02:58:40,205,2,172,33.4200,35059,9,633
2023-05-22 06:26:43,159,3,562,3.6500,35056,30,141
2023-08-26 19:42:54,194,3,346,34.5500,35056,18,615
2023-03-13 14:42:17,496,3,778,8.9100,35056,18,663
2023-06-10 05:17:47,351,4,445,3.2500,35054,18,617
2023-09-20 13:10:23,298,4,748,21.4300,35054,24,446
2023-11-28 08:08:44,342,5,735,3.1000,35050,32,513
2023-10-05 12:21:25,350,5,106,33.4100,35050,1,556
2023-06-14 11:30:58,392,6,72,6.6200,35049,9,344
2023-09-20 09:55:06,332,6,204,31.7600,35049,12,749
2023-05-21 01:04:47,9,6,350,18.9400,35049,14,353
2023-07-05 08:57:42,238,7,426,29.0200,35045,4,681
2023-04-05 10:27:48,432,7,88,16.2700,35045,15,667
2023-01-14 19:47:30,105,7,765,31.5400,35045,3,282
2023-08-20 22:36:16,371,8,172,24.2500,35045,27,377
2023-04-24 06:55:44,209,8,220,22.7300,35045,22,375
2023-06-27 17:49:19,43,9,503,8.6200,35044,13,161
2022-12-15 11:16:57,91,9,623,10.5100,35044,6,407
2023-01-18 19:02:02,272,10,767,11.0300,35044,24,747
2023-08-03 12:50:01,278,10,251,20.4200,35044,22,196
2023-08-17 22:56:51,492,10,578,3.7700,35044,30,210
2023-10-17 21:07:00,498,11,250,23.4600,35043,22,713
2022-12-20 02:15:10,434,11,749,14.8500,35043,13,508
2023-05-23 01:42:00,344,11,455,18.9800,35043,18,51
2022-12-15 13:44:14,146,12,590,22.1300,35043,12,486
2023-04-30 04:17:14,342,13,30,3.1000,35042,30,580
2023-03-22 08:14:01,331,13,522,28.6300,35042,23,351
2023-07-01 07:18:26,126,13,529,18.0000,35042,1,104
2023-09-05 16:13:10,311,14,388,21.9000,35041,10,646
2023-10-22 17:13:17,500,15,732,29.8200,35038,19,419
